sci_name_norm,sci_name,common_name_en,toxic_to_dogs,toxic_to_cats,toxic_to_horses,clinical_signs,toxic_principles,additional_common_names,detail_url
carya glabra,Carya glabra,Pignut Hickory,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pignut-hickory
carya laciniosa,Carya laciniosa,Big Shagbark Hickory,false,false,false,,,"Big Shellbark Hickory, Shellbark Hickory, Shagbark Hickory",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/big-shagbark-hickory
carya tomentosa,Carya tomentosa,Mockernut Hickory,false,false,false,,Non-toxic,Squarenut,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mockernut-hickory
castanea dentata,Castanea dentata,Chestnut,false,false,false,,,American Chestnut,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chestnut
cattleya forbesii,Cattleya forbesii,Cocktail Orchid,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cocktail-orchid
cattleya labiata,Cattleya labiata,Cattleya Labiata,false,false,false,,,"Crimson Cattleya, Ruby-lipped Cattleya",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cattleya-labiata
cattleya mossiae,Cattleya mossiae,Easter Cattleya,false,false,false,,Non-toxic,Easter Orchid,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/easter-cattleya
cattleya trianaei,Cattleya trianaei,Christmas Orchid,false,false,false,,,Winter Cattleya,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/christmas-orchid
celastrus scandens,Celastrus scandens,American Bittersweet,true,true,true,"Vomiting (not horses), diarrhea, seizures (rare), weakness","Cardenolides, alkaloids","Bittersweet, Waxwork, Shrubby Bittersweet, False Bittersweet, Climbing Bittersweet",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/american-bittersweet
celosia cristata,Celosia cristata,Fairy Fountain,false,false,false,,Non-toxic,"Feathered Amaranth, Woolflower",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fairy-fountain
celosia globosa,Celosia globosa,Celosia Globosa,false,false,false,,,"Globe Amarantha, Perpetua",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/celosia-globosa
celosia plumosa,Celosia plumosa,Celosia Plumosa,false,false,false,,,Cockscomb,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/celosia-plumosa
celosia spicata,Celosia spicata,Celosia Spicata,false,false,false,,,Flamingo Feather,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/celosia-spicata
centaurea cyanus,Centaurea cyanus,Bachelors Buttons,false,false,false,,,"Cornflower, Bluebottle",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bachelors-buttons
centaurea repens,Centaurea repens,Russian Knapweed,false,false,true,"""Chewing disease"" - can chew but unable to swallow, dehydration, malnutrition, death",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/russian-knapweed
centaurea solstitialis,Centaurea solstitialis,Barnaby's Thistle,false,false,true,"""Chewing disease"" - can chew but unable to swallow, dehydration, malnutrition, death",Unknown,Yellow Star Thistle,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barnabys-thistle
cephalocereus senilis,Cephalocereus senilis,Old Man Cactus,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/old-man-cactus
ceratonia siliqua,Ceratonia siliqua,Carob,false,false,false,,,"Sugar Pod, Locust Pods, Algaroba, Carob Tree Kharoub, Beans",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/carob
ceratostigma larpentiae,Ceratostigma larpentiae,Plumbago Larpentiae,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/plumbago-larpentiae
ceratostigma willmottianum,Ceratostigma willmottianum,Chinese Plumbago,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chinese-plumbago
chamaedorea elegans,Chamaedorea elegans,Bamboo Palm,false,false,false,,,"Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bamboo-palm
chenopodium ambrosioides,Chenopodium ambrosioides,Epazote,true,true,true,"Vomiting, diarrhea (with ingestion of concentrated oils)","Essential oils: ascaridole, limonene, p-cymene","Wormseed, Jusuit's Tea, Mexican Tea, Paico",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/epazote
chenopodium botrys,Chenopodium botrys,Ambrosia Mexicana,true,true,true,"Vomiting, anorexia, depression",Sesquiterpene lactones,"Jerusalem Oak, Feather Geranium",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ambrosia-mexicana
chlorophytum bichetti,Chlorophytum bichetti,Chlorophytum bichetti,false,false,false,,,Saint Bernard's Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chlorophytum-bichetti
chlorophytum comosum,Chlorophytum comosum,Anthericum Comosum,false,false,false,,,"Ribbon Plant, Spider Plant, Spider Ivy",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/anthericum-comosum
chrysanthemum,Chrysanthemum spp.,Chrysanthemum,true,true,true,"Vomiting, diarrhea, hypersalivation, incoordination, dermatitis","Sesquiterpene, lactones, pyrethrins and other potential irritants","Daisy, Mum; many varieties",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chrysanthemum
chrysanthemum species,Chrysanthemum species,Daisy,true,true,,"Vomiting, diarrhea, hypersalivation, incoordination, dermatitis","Sesquiterpene, lactones, pyrethrins and other potential irritants","Chrysanthemum, Mum",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/daisy
cicuta maculata,Cicuta maculata,Poison Parsnip,true,true,true,"Diarrhea, seizures, tremors, extreme stomach pain, dilated pupils, fever, bloat, respiratory depression, and death.",Cicutoxin,"water hemlock, cowbane",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-parsnip
cicuta species,Cicuta species,Cowbane,true,true,true,"Diarrhea, seizures, tremors, extreme stomach pain, dilated pupils, fever, bloat, respiratory depression, and death",Cicutoxin,"Water Hemlock, Poison Parsnip",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cowbane
cinnamomum zeylanicum,Cinnamomum zeylanicum,Cinnamon,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cinnamon
cissus dicolor,Cissus dicolor,"Begonia, Climbing",false,false,false,,,Rex Begonia,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/begonia-climbing
cissus rhombifolia,Cissus rhombifolia,Grape Ivy,false,false,false,,Non-toxic,Venezuela treebine,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/grape-ivy
citrus,Citrus Aurantium,Bergamot Orange,true,true,true,"Vomiting, diarrhea, depression; potential photosensitivity (dermatitis)",Essential oils and psoralens,"Bergamot, Citrus bergamia",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bergamot-orange
citrus aurantifolia,Citrus aurantifolia,Lime,true,true,true,"Vomiting, diarrhea, depression; potential dermatitis. Fruit is edible, skins and plant material can cause problems.",Essential oils and psoralens,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lime
citrus limonia,Citrus limonia,Lemon,true,true,true,"Vomiting, diarrhea, depression; potential dermatitis. Fruit is edible, skins and plant material can cause problems.",Essential oils and psoralens,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lemon
citrus mitis,Citrus mitis,Calamondin Orange,true,true,true,"Vomiting, diarrhea, depression; potential photosensitivity (dermatitis)",Essential oils and psoralens,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/calamondin-orange
citrus paradisii,Citrus paradisii,Grapefruit,true,true,true,"Vomiting, diarrhea, depression; potential dermatitis. Fruit is edible, skins and plant material can cause problems.",Essential oils and psoralens,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/grapefruit
citrus sinensis,Citrus sinensis,Orange,true,true,true,"Vomiting, diarrhea, depression; potential dermatitis. Fruit is edible, skins and plant material can cause problems.",Essential oils and psoralens,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/orange
clematis,Clematis spp.,Clematis,true,true,true,"Salivation, vomiting, diarrhea.",Irritant glycoside (Protoanemonin),"Virgin’s Bower, Leatherflower",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/clematis
cleome hasserlana,Cleome hasserlana,Spider Flower,false,false,false,No records of toxic ingestion from this plant.,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/spider-flower
clintonia borealis,Clintonia borealis,Blue Bead,false,false,false,,,Corn Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-bead
clintonia umbelluata,Clintonia umbelluata,Speckled Wood Lily,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/speckled-wood-lily
clintonia uniflora,Clintonia uniflora,Bride's Bonnet,false,false,false,,,Queencup,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/brides-bonnet
clivia,Clivia spp.,Clivia Lily,true,true,,"Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part.",Lycorine and other alkaloids,"Kaffir Lily, Clivies, Caffre Lily, Cape Clivia, Klivia",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/clivia-lily
clivia minata,Clivia minata,Kaffir Lily,true,true,true,"Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part.",Lycorine and other alkaloids,Clivia Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/kaffir-lily
clusia major,Clusia major,Clusia Rosea,true,true,true,"Digestive upset, vomiting",Terpenes,Clusia,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/clusia-rosea
colchicum autumnale,Colchicum autumnale,Autumn Crocus,true,true,true,"Bloody vomiting, diarrhea, shock, multi-organ damage, bone marrow suppression",Colchicine and other alkaloids,Meadow Saffron,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/autumn-crocus
coleus ampoinicus,Coleus ampoinicus,Bread and Butter Plant,true,true,true,"Vomiting, diarrhea, depression, anorexia, occasionally bloody diarrhea or vomiting",Essential Oils,"Indian Borage, Spanish Thyme, Coleus, Maratha, Militini, East Indian Thyme",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bread-and-butter-plant
colocasia esculenta,Colocasia esculenta,Elephant Ears (Colocasia esculenta),true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Caladium, Malanga",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/elephant-ears-colocasia-esculenta
,,Medicine Plant,true,true,,"Vomiting, change in urine color (red)","Anthraquinones, anthracene glycosides (aloin)","Aloe, True Aloe, Barbados Aloe",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/medicine-plant
conium maculatum,Conium maculatum,Poison Hemlock,true,true,true,"Agitation, tremors, drooling, diarrhea, paralysis, death",Various alkaloids,"Poison Parsley, Spotted Hemlock, Winter Fern, California Fern, Nebraska Fern, Deadly Hemlock",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-hemlock
convallaria majalis,Convallaria majalis,Lily of the Valley,true,true,true,"Vomiting, irregular heart beat, low blood pressure, disorientation, coma, seizures","Cardenolides (convallarin, and others)",,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lily-valley
cordyline australis,Cordyline australis,Giant Dracaena,true,true,true,"Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats)",Saponins,"Palm Lily, Grass Palm",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/giant-dracaena
cordyline rubra,Cordyline rubra,Red Palm Lily,false,false,false,,Non-toxic,Red Fruited Palm Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/red-palm-lily
cordyline terminalis,Cordyline terminalis,Baby Doll Ti Plant,true,true,true,"Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats)",Saponins,"Ti-Plant, Good-Luck Plant, Hawaiian Ti Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/baby-doll-ti-plant
coreopsis,Coreopsis spp.,Coreopsis,false,false,false,,,Tickseed,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/coreopsis
coreopsis californica,Coreopsis californica,Tickseed,false,false,false,,,coreopsis,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tickseed
coriandrum sativum,Coriandrum sativum,Cilantro,false,false,false,,,"Coriander, Chinese Parsley, Dhania",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cilantro
cortaderia selloana,Cortaderia selloana,Pampas Grass,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pampas-grass
crassula arborescens,Crassula arborescens,Chinese Jade,true,true,true,"Vomiting, drunkeness (cats), tremors (rare)",Unknown,"Silver Jade Plant, Silver Dollar",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/chinese-jade
crassula argentea,Crassula argentea,Jade Plant,true,true,true,"Vomiting, depression, incoordination",Unknown,"Baby Jade, Dwarf rubber plant, Jade tree, Chinese rubber plant, Japanese rubber plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/jade-plant
crataegus douglasii,Crataegus douglasii,Black Hawthorn,false,false,false,,,"Weisdornbluten, Blackthorn, Thorn Apple, Thorn Plum, Pirliteiro, Red Hawthorn, May Bush, Oxyacantha, Haw Apple, Black Haw, Aubepine",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-hawthorn
crataegus laevigata,Crataegus laevigata,English Hawthorn,false,false,false,,Non-toxic,"Midland hawthorn, Smooth hawthorn",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/english-hawthorn
crataegus species,Crataegus species,Haws,false,false,false,,Non-toxic,Pirliteiro,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/haws
crossandra species,Crossandra species,Crossandra,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/crossandra
crotalaria albida,Crotalaria albida,Rattlebox,,,true,Horses: liver disease (must be ingested in large amount or over a long time period),Pyrrolizidine alkaloids,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rattlebox
cryptanthus bivattus minor,Cryptanthus bivattus minor,Dwarf Rose-Stripe Star,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dwarf-rose-stripe-star
cryptanthus lacerdae,Cryptanthus lacerdae,Silver Star,false,false,false,,,Cape Marigold,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/silver-star
cryptanthus zonatus,Cryptanthus zonatus,Pheasant Plant,false,false,false,,,Zebra Plant,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pheasant-plant
cucumis anguria,Cucumis anguria,Bur Gourd,false,false,false,,,"Goareberry Gourd, Gooseberry Gourd, West Indian Gherkin",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bur-gourd
cucumis dipsaceus,Cucumis dipsaceus,Hedgehog Gourd,false,false,false,,Non-toxic,Teasel Gourd,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hedgehog-gourd
cucumis melo,Cucumis melo,Casaba Melon,false,false,false,,,"Honeydew Melon, True Cantaloupe, Muskmelon",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/casaba-melon
cucumis sativus,Cucumis sativus,Cucumber,false,false,false,,,Garden Cucumber,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cucumber
cucurbia pepo zucchini,Cucurbia pepo cv zucchini,Zucchini Squash,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/zucchini-squash
cucurbita ficifolia,Cucurbita ficifolia,Fig Leaf Gourd,false,false,false,,Non-toxic,Malabar Gourd,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fig-leaf-gourd
cucurbita maxima banana,Cucurbita maxima var. banana,Banana Squash,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/banana-squash
cucurbita maxima buttercup,Cucurbita maxima cv buttercup,Buttercup Squash,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/buttercup-squash
cucurbita maxima butternut,Cucurbita maxima cv butternut,Butternut Squash,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/butternut-squash
cucurbita maxima hubbard,Cucurbita maxima var. hubbard,Hubbard Squash,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hubbard-squash
cucurbita maxima turbaniformis,Cucurbita maxima cv turbaniformis,Turban Squash,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/turban-squash
cucurbita pepo,Cucurbita pepo,Acorn Squash,false,false,false,,,"Similar plants:pumpkin, zucchini",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/acorn-squash
cucurbita species,Cucurbita species,Yellow-Flowered Gourd,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/yellow-flowered-gourd
cycas and,Cycas and Zamia species,Cycads,true,true,true,"Vomiting (may be bloody), dark stools, jaundice, increased thirst, bloody diarrhea, bruising, liver failure, death. 1-2 seeds can be fatal.","Cycasin, B-methylamino-l-alanine, unidentified neurotoxin (cattle)","Sago Palm, Fern Palm",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cycads
cycas revoluta zamia species,"Cycas revoluta, zamia species",Sago Palm,true,true,true,"Vomiting, melena, icterus, increased thirst, hemorrhagic gastroenteritis, bruising, coagulopathy, liver damage, liver failure, death.",Cycasin,"Coontie Palm, Cardboard Palm, cycads and zamias",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sago-palm
cyclamen,Cyclamen spp,Cyclamen,true,true,true,"Salivation, vomiting, diarrhea. Following large ingestions of tubers: heart rhythm abnormalities, seizures, death",Terpenoid saponins,Sowbread,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cyclamen
cymbalaria muralis,Cymbalaria muralis,Kenilworth Ivy,false,false,false,,Non-toxic,Coliseum Ivy,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/kenilworth-ivy
cymbopogon citratus,Cymbopogon citratus,Lemon Grass,true,true,true,"Dogs, cats: Stomach upset; Horses: difficulty breathing, weakness, death (rare)","Essential oils, cyanogenic glycosides",Oil Grass,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lemon-grass
cymopterus watsonii,Cymopterus watsonii,Spring Parsley,true,true,true,"Photosensitization (sunburn, dermatitis)",Furanocoumarins,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/spring-parsley
cynoglossum amabile,Cynoglossum amabile,Hound's Tongue,,,true,Horses: liver disease (must be ingested in large amount or over a long time period),Pyrrolizidine alkaloids,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hounds-tongue
cyrtomium falcatum,Cyrtomium falcatum,Aspidium falcatum,false,false,false,,Non-toxic,"Fern Holly, Japanese Holly, Fish Tail",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/aspidium-falcatum
dahlia species,Dahlia species,Dahlia,true,true,true,"Mild gastrointestinal signs, mild dermatitis",Unknown,Many varieties,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dahlia
darlingtonia californica,Darlingtonia californica,California Pitcher Plant,false,false,false,,,"Cobra Orchid, Cobra Plant, Cobra Lily, Chrysamphora",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/california-pitcher-plant
daucus carota sativa,Daucus carota var. sativa,Carrot Flower,false,false,false,"Contains psoralens that have been known to cause skin irritation; the taproot is edible, as it is the common garden carrot.",,Garden Carrot,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/carrot-flower
davallia,Davallia spp.,Ball Fern,false,false,false,,,"Rabbit's Foot Fern, Squirrel Foot Fern, Deer Foot Fern, Hare Fern",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ball-fern
davallia fejeensis,Davallia fejeensis,Dainty Rabbits-Foot Fern,false,false,false,,Non-toxic,"Lacy Paw, Lacy Hare's Foot",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dainty-rabbits-foot-fern
delphinium species,Delphinium species,Larkspur,true,true,true,"Unless there is a lack of suitable forage, horses typically do not consume toxic amounts of larkspur. The toxicity of the plant may vary depending on seasonal changes and field conditions; as the plant matures, it generally becomes less toxic. The alkaloids in the plant cause neuromuscular paralysis; clinical effects include constipation, colic, increased salivation, muscle tremors, stiffness, weakness, recumbency, and convulsions. Cardiac failure may occur, as can death from respiratory paralysis.",Diterpene alkaloids,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/larkspur
dendrobium gracilicaule,Dendrobium gracilicaule,Leopard Orchid,false,false,false,,Non-toxic,Tiger Orchid,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/leopard-orchid
deutzia gracilis,Deutzia gracilis,Slender Deutzia,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/slender-deutzia
dianthus,Dianthus spp.,Eastern Star,true,true,true,"Vomiting, dermatitis",GI and skin irritants,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/eastern-star
dianthus caryophyllus,Dianthus caryophyllus,Carnation,true,true,true,"Mild gastrointestinal signs, mild dermatitis",Unknown irritant,"Pinks, Wild Carnation, Sweet William",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/carnation
dichelostemma pulchellum,Dichelostemma pulchellum,Blue-dicks,false,false,false,,,Wild Hyacinth,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/blue-dicks
dichelostemma species,Dichelostemma species,Dichelostemma,false,false,false,,Non-toxic,Several varieties,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dichelostemma
dichorisandra reginae,Dichorisandra reginae,Dichorisandra Reginae,false,false,false,,Non-toxic,Queen's Spiderwort,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dichorisandra-reginae
dieffenbachia,Dieffenbachia,Dieffenbachia,true,true,,"Oral irritation, intense burning and irritation of mouth , tongue and lips, excessive drooling, vomiting, difficulty swallowing","Insoluble calcium oxalates, proteolytic enzyme","Charming Dieffenbachia, Giant Dumb Cane, Tropic Snow, Dumbcane, Exotica, Spotted Dumb Cane, Exotica Perfection",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dieffenbachia
dieffenbachia amoena,Dieffenbachia amoena,Charming Dieffenbachia,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","Insoluble calcium oxalates, proteolytic enzyme",,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/charming-dieffenbachia
dieffenbachia picta,Dieffenbachia picta,Gold Dieffenbachia,true,true,,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/gold-dieffenbachia
digitalis purpurea,Digitalis purpurea,Foxglove,true,true,true,"Cardiac arrhythmias, vomiting, diarrhea, weakness, cardiac failure, death.",Cardiac glycosides,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/foxglove
dimorphotheca pluvialis,Dimorphotheca pluvialis,Cape Marigold,false,false,false,,,African Daisy,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cape-marigold
dinteranthus vanzylii,Dinteranthus vanzylii,Dinteranthus,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dinteranthus
dionaea muscipula,Dionaea muscipula,Venus Fly Trap,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/venus-fly-trap
dizygotheca elegantissima,Dizygotheca elegantissima,False Aralia,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/false-aralia
dracaena,Dracaena spp.,Dracaena,true,true,,"Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats).",Saponins,"Corn Plant, Cornstalk Plant, Dragon Tree, Ribbon Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dracaena
dracaena deremensis,Dracaena deremensis,Striped Dracaena,true,true,true,"In cats: dilated pupils, abdominal pain, increased heartrate and drooling. In both cats and dogs: vomiting, depression, inappetence, drooling, incoordination, and weakness.",Unknown,"warneckii, janet craig plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/striped-dracaena
dracaena fragrans,Dracaena fragrans,Corn Plant,true,true,true,"Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats).",Saponins,"Corn Plant, Cornstalk Plant, Dracaena, Dragon Tree, Ribbon Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/corn-plant
dracaena marginata,Dracaena marginata,Madagascar Dragon Tree,true,true,true,"Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats).",Saponins,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/madagascar-dragon-tree
dracaena reflexa,Dracaena reflexa,Malaysian Dracaena,true,true,true,"Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats).",Saponins,"Song of India, Pleomele",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/malaysian-dracaena
dracaena surculosa,Dracaena surculosa,Florida Beauty,true,true,,"Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats).",Saponins,"Gold Dust Dracaena, Spotted Dracaena",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/florida-beauty
draceana,Draceana spp.,Lance Pleomele,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lance-pleomele
