연번,국명,학명,과국명,과명,개화기시작(월),결실기(월),보호식물여부,특산식물여부,크기
1,실새삼,Cuscuta australis R.Br.,메꽃과,Convolvulaceae,7,8,N,N,길이 50cm 내외이다.
2,갯실새삼,Cuscuta chinensis Lam.,메꽃과,Convolvulaceae,7,8,N,N,줄기의 길이가 1m에 이른다.
3,애기메꽃,Calystegia hederacea Wall.,메꽃과,Convolvulaceae,6,8,N,N,길이가 20-70cm 정도로 자란다.
4,큰메꽃,Calystegia sepium (L.) R.Br.,메꽃과,Convolvulaceae,6,8,N,N,길이가 20-70cm정도로 자란다.
5,선메꽃,Calystegia dahurica (Herb.) Choisy,메꽃과,Convolvulaceae,6,8,N,N,높이가 60cm 정도이다.
6,갯메꽃,Calystegia soldanella (L.) Roem. & Schultb.,메꽃과,Convolvulaceae,5,6,N,N,"길이는2~3cm, 폭은 3~5cm."
7,방울꽃,Strobilanthes oliganthus Miq.,쥐꼬리망초과,Acanthaceae,9,9,N,N,높이 30~60cm이다.
8,쥐꼬리망초,Justicia procumbens L.,쥐꼬리망초과,Acanthaceae,7,9,N,N,높이 30cm이다.
9,물잎풀,Hygrophila salicifolia (Vahl) Nees,쥐꼬리망초과,Acanthaceae,9,9,N,N,높이 30-60cm.
10,애기도라지,Wahlenbergia marginata (Thunb.) A.DC.,초롱꽃과,Campanulaceae,6,8,N,N,높이 20~40cm이다.
11,겹도라지,Platycodon grandiflorus var. duplex Makino,초롱꽃과,Campanulaceae,7,8,N,N,높이 40-100cm
12,도라지,Platycodon grandiflorus (Jacq.) A.DC.,초롱꽃과,Campanulaceae,7,8,N,N,높이 40~100cm
13,흰겹도라지,Platycodon grandiflorus var. duplex f. leucanthum H. Hara,초롱꽃과,Campanulaceae,7,8,N,N,높이 40-100cm
14,백도라지,Platycodon grandiflorus f. albiflorum (Honda) H. Hara,초롱꽃과,Campanulaceae,7,8,N,N,높이 40-100cm
15,홍노도라지,Peracarpa carnosa var. circaeoides (F.Schmidt ex Miq.) Makino,초롱꽃과,Campanulaceae,4,8,N,N,높이는 5-15㎝
16,수염가래꽃,Lobelia chinensis Lour.,초롱꽃과,Campanulaceae,5,8,N,N,높이는 3~15cm내외이다.
17,숫잔대,Lobelia sessilifolia Lamb.,초롱꽃과,Campanulaceae,7,8,N,N,높이가 50-100cm정도이다.
18,흰금강초롱꽃,Hanabusaya asiatica f. alba T.B.Lee,초롱꽃과,Campanulaceae,8,9,N,N,높이 30-90㎝이다.
19,검산초롱꽃,Hanabusaya latisepala Nakai,초롱꽃과,Campanulaceae,8,9,N,Y,높이는 약 70㎝정도이다.
20,금강초롱꽃,Hanabusaya asiatica (Nakai) Nakai,초롱꽃과,Campanulaceae,8,10,Y,Y,높이 30~90cm
21,푸른더덕,Codonopsis lanceolata f. emaculata (Honda) H. Hara,초롱꽃과,Campanulaceae,8,9,N,N,덩굴의 길이 2m
22,더덕,Codonopsis lanceolata (Siebold & Zucc.) Benth. & Hook.f. ex Trautv.,초롱꽃과,Campanulaceae,8,9,N,N,길이 2m 이상이다.
23,만삼,Codonopsis pilosula (Franch.) Nannf.,초롱꽃과,Campanulaceae,7,8,Y,N,줄기가 1-2m로 자란다.
24,초롱꽃,Campanula punctata Lam.,초롱꽃과,Campanulaceae,6,8,N,N,높이 40-100cm정도이다.
25,흰자주꽃방망이,Campanula glomerata f. alba Nakai ex T.B.Lee,초롱꽃과,Campanulaceae,7,8,N,N,높이 40-100cm
26,섬초롱꽃,Campanula takesimana Nakai,초롱꽃과,Campanulaceae,7,9,Y,Y,높이가 30-100cm이다.
27,자주꽃방망이,Campanula glomerata var. dahurica Fisch. ex Ker Gawl.,초롱꽃과,Campanulaceae,7,8,Y,N,높이가 40-100cm 정도이다.
28,영아자,Asyneuma japonicum (Miq.) Briq.,초롱꽃과,Campanulaceae,7,9,N,N,높이 50~100cm이다.
29,꽃잔대,Adenophora koreana Kitam.,초롱꽃과,Campanulaceae,8,9,N,Y,높이 50~100cm이다.
30,수원잔대,Adenophora polyantha Nakai,초롱꽃과,Campanulaceae,8,9,N,N,높이 50cm
31,금강잔대,Adenophora pulchra Kitam.,초롱꽃과,Campanulaceae,8,9,N,Y,높이는 50∼70cm이다.
32,모시대,Adenophora remotiflora (Siebold & Zucc.) Miq.,초롱꽃과,Campanulaceae,8,9,N,N,높이 40~100cm
33,층층잔대,Adenophora verticillata Fisch.,초롱꽃과,Campanulaceae,7,9,N,N,높이 40~120cm이다.
34,흰도라지모시대,Adenophora grandiflora f. alba T.B.Lee,초롱꽃과,Campanulaceae,8,8,N,N,높이 70cm
35,흰모시대,Adenophora remotiflora f. leucantha Honda,초롱꽃과,Campanulaceae,8,9,N,N,높이 40-100cm
36,섬잔대,Adenophora taquetii H.L?v.,초롱꽃과,Campanulaceae,7,8,Y,Y,높이 약 20cm 정도
37,가는층층잔대,Adenophora verticillata var. angustifolia Regel,초롱꽃과,Campanulaceae,8,9,N,N,높이는 약 80cm이다.
38,도라지모시대,Adenophora grandiflora Nakai,초롱꽃과,Campanulaceae,8,8,Y,N,높이가 70cm정도로 자란다.
39,흰톱잔대,Adenophora curvidens f. alba Y.N.Lee,초롱꽃과,Campanulaceae,8,9,N,N,높이 50cm 가량.
40,톱잔대,Adenophora curvidens Nakai,초롱꽃과,Campanulaceae,8,9,N,N,높이 50cm가량.
41,넓은잔대,Adenophora divaricata Franch. & Sav.,초롱꽃과,Campanulaceae,8,9,N,N,높이 90cm
42,진퍼리잔대,Adenophora palustris Kom.,초롱꽃과,Campanulaceae,8,8,Y,N,키는 70㎝
43,왕잔대,Adenophora tyosenensis Nakai ex T.H.Chung,초롱꽃과,Campanulaceae,8,8,N,N,높이는 1m이다.
44,털잔대,Adenophora verticillata var. hirsuta F.Schmidt,초롱꽃과,Campanulaceae,8,9,N,N,높이 50~100cm이다.
45,둥근잔대,Adenophora coronopifolia Fisch.,초롱꽃과,Campanulaceae,8,8,N,N,높이 15㎝
46,당잔대,Adenophora stricta Miq.,초롱꽃과,Campanulaceae,7,9,N,N,높이가 60-100cm이다.
47,잔대,Adenophora triphylla var. japonica (Regel) H. Hara,초롱꽃과,Campanulaceae,7,9,N,N,높이 40~120cm이다.
48,두메잔대,Adenophora lamarckii Fisch.,초롱꽃과,Campanulaceae,8,8,N,N,높이 20-40㎝정도
49,그늘모시대,"Adenophora remotiflora (Siebold & Zucc.) Miq. var. hirticalyx S.T.Lee, Y.Chung & J.K.Lee",초롱꽃과,Campanulaceae,8,10,N,N,높이 70~120cm
50,꽝꽝나무,Ilex crenata Thunb.,감탕나무과,Aquifoliaceae,5,6,N,N,높이 3m.
51,감탕나무,Ilex integra Thunb.,감탕나무과,Aquifoliaceae,3,4,N,N,높이 10m.
52,먼나무,Ilex rotunda Thunb.,감탕나무과,Aquifoliaceae,5,6,N,N,높이 10m.
53,대팻집나무,Ilex macropoda Miq.,감탕나무과,Aquifoliaceae,5,5,N,N,"높이 15m, 지름 30cm."
54,민대팻집나무,Ilex macropoda f. pseudomacropoda (Loes.) H. Hara,감탕나무과,Aquifoliaceae,5,5,N,N,"수고 15m 내외, 직경 30cm ."
55,호랑가시나무,Ilex cornuta Lindl. & Paxton,감탕나무과,Aquifoliaceae,4,5,Y,N,높이 2 ~ 3m.
56,좀꽝꽝나무,Ilex crenata var. microphylla Maxim. ex Matsum.,감탕나무과,Aquifoliaceae,5,6,N,N,높이 3m까지 자란다.
57,고추나무,Staphylea bumalda DC.,고추나무과,Staphyleaceae,5,6,N,N,높이 3~5m.
58,말오줌때,Euscaphis japonica (Thunb.) Kanitz,고추나무과,Staphyleaceae,5,5,N,N,높이 5~6m.
59,긴잎회양목,Buxus koreana f. elongata (Nakai) Kim & Kim,회양목과,Buxaceae,4,5,N,N,수고 7m에 달한다.
60,회양목,Buxus sinica (Rehder & E.H.Wilson) M.Cheng var. insularis (Nakai) M.Cheng,회양목과,Buxaceae,3,4,N,Y,높이 7m.
61,섬회양목,Buxus koreana f. insularis (Nakai) Kim & Kim,회양목과,Buxaceae,4,4,N,N,높이 7m.
62,미역줄나무,Tripterygium regelii Sprague & Takeda,노박덩굴과,Celastraceae,6,7,N,N,길이 2m.
63,당회잎나무,Euonymus alatus f. apterus (Regel) Rehder,노박덩굴과,Celastraceae,5,6,N,N,높이 3m 정도.
64,털화살나무,Euonymus alatus (Thunb.) Siebold f. pilosus (O.Loes. & Rehder) Ohwi,노박덩굴과,Celastraceae,5,6,N,N,높이 3m 정도
65,참빗살나무,Euonymus hamiltonianus Wall.,노박덩굴과,Celastraceae,5,6,N,N,높이 8m.
66,회목나무,Euonymus pauciflorus Maxim.,노박덩굴과,Celastraceae,6,7,N,N,높이 2m.
67,화살나무,Euonymus alatus (Thunb.) Siebold,노박덩굴과,Celastraceae,5,6,N,N,높이 3m.
68,섬회나무,Euonymus nitidus Benth.,노박덩굴과,Celastraceae,5,6,Y,N,높이 5m.
69,좁은잎참빗살나무,Euonymus hamiltonianus var. maackii (Rupr.) Kom.,노박덩굴과,Celastraceae,6,6,N,N,수고 10m에 달한다.
70,사철나무,Euonymus japonicus Thunb.,노박덩굴과,Celastraceae,6,7,N,N,높이 3m.
71,회나무,Euonymus sachalinensis (F.Schmidt) Maxim.,노박덩굴과,Celastraceae,6,7,N,N,높이가 4m 가량 된다.
72,회잎나무,Euonymus alatus (Thunb.) Siebold f. ciliato-dentatus (Franch. & Sav.) Hiyama,노박덩굴과,Celastraceae,5,6,N,N,높이 3m.
73,좀참빗살나무,Euonymus hamiltonianus Wall. var. maackii (Rupr.) Kom.,노박덩굴과,Celastraceae,6,6,N,N,높이는 1~5m 정도로 자란다.
74,나래회나무,Euonymus macropterus Rupr.,노박덩굴과,Celastraceae,6,7,N,N,높이 10m.
75,줄사철나무,Euonymus fortunei (Turcz.) Hand.-Mazz. var. radicans (Siebold ex Miq.) Rehder,노박덩굴과,Celastraceae,5,6,N,N,길이 10m 이상.
76,개노박덩굴,Celastrus orbiculatus Thunb. var. strigillosus (Nakai) Makino,노박덩굴과,Celastraceae,5,6,N,N,길이 10m.
77,노박덩굴,Celastrus orbiculatus Thunb.,노박덩굴과,Celastraceae,5,6,N,N,길이 10m.
78,털노박덩굴,Celastrus stephanotiifolius Makino,노박덩굴과,Celastraceae,5,5,N,N,"길이 10m, 직경 20㎝에 이른다."
79,푼지나무,Celastrus flagellaris Rupr.,노박덩굴과,Celastraceae,6,6,N,N,길이가 5m 정도로 자란다.
80,덤불노박덩굴,Celastrus orbculatus var. sylvestris (Siebold) Nakai ex Mori,노박덩굴과,Celastraceae,5,6,N,N,길이 10m.
81,해변노박덩굴,Celastrus orbiculatus Thunb. var. punctata (Thunb.) Rehder,노박덩굴과,Celastraceae,5,6,N,N,길이 10m.
82,좁은해홍나물,Suaeda heteroptera Kitag.,명아주과,Chenopodiaceae,8,9,N,N,높이 20~50cm이다.
83,칠면초,Suaeda japonica Makino,명아주과,Chenopodiaceae,8,9,N,N,높이 15-50cm.
84,해홍나물,Suaeda maritima (L.) Dumort.,명아주과,Chenopodiaceae,7,8,N,N,높이가 30-50cm 정도로 자란다.
85,솔장다리,Salsola collina Pall.,명아주과,Chenopodiaceae,7,8,N,N,높이가 30cm에 이른다.
86,수송나물,Salsola komarovii Iljin,명아주과,Chenopodiaceae,7,8,N,N,길이 10-40cm로 자란다.
87,퉁퉁마디,Salicornia europaea L.,명아주과,Chenopodiaceae,8,9,N,N,높이 10~30cm이다.
88,갯댑싸리,Kochia scoparia var. littorea Makino,명아주과,Chenopodiaceae,7,8,N,N,높이 1m정도에 이른다.
89,장다리나물,Corispermum puberulum f. lissocarpum (Kitag.) Kitag.,명아주과,Chenopodiaceae,8,9,N,N,높이 30~60cm이다.
90,호모초,Corispermum stauntonii Moq.,명아주과,Chenopodiaceae,7,8,N,N,높이가 50cm 정도로 자란다.
91,둥근잎명아주,Chenopodium acuminatum Willd.,명아주과,Chenopodiaceae,5,8,N,N,높이 20~60cm이다.
92,바늘명아주,Chenopodium aristatum L.,명아주과,Chenopodiaceae,7,8,Y,N,높이 10-40cm
93,호주명아주,Chenopodium carinatum R.Br.,명아주과,Chenopodiaceae,7,8,N,N,높이 30-40㎝
94,참명아주,Chenopodium koraiense Nakai,명아주과,Chenopodiaceae,7,8,N,N,높이 60cm.
95,청명아주,Chenopodium bryoniaefolium Bunge,명아주과,Chenopodiaceae,7,8,N,N,높이가 50-100cm 정도로 자란다.
96,명아주,Chenopodium album var. centrorubrum Makino,명아주과,Chenopodiaceae,6,7,N,N,높이 약 1-2m 내외이다.
97,가는명아주,Chenopodium album var. stenophyllum Makino,명아주과,Chenopodiaceae,6,7,N,N,높이가 30~60cm로 자란다.
98,나도댑싸리,Axyris amaranthoides L.,명아주과,Chenopodiaceae,7,8,N,N,높이는 80cm정도이다.
99,가는갯능쟁이,Atriplex gmelinii C.A.Mey. ex Bong.,명아주과,Chenopodiaceae,7,8,N,N,높이 30-50cm 정도로 자란다.
100,갯는쟁이,Atriplex subcordata Kitag.,명아주과,Chenopodiaceae,7,8,N,N,높이 40-60cm
101,번행초,Tetragonia tetragonoides (Pall.) Kuntze,번행초과,Aizoaceae,4,11,N,N,높이 60cm이다.
102,눈비름,Amaranthus deflexus L.,비름과,Amaranthaceae,8,10,N,N,높이가 10-30cm 정도로 자란다.
103,비름,Amaranthus mangostanus L.,비름과,Amaranthaceae,7,7,N,N,높이 약 1m 이다.
104,쇠무릎,Achyranthes japonica (Miq.) Nakai,비름과,Amaranthaceae,8,9,N,N,높이 50-100cm이다.
105,섬자리공,Phytolacca insularis Nakai,자리공과,Phytolaccaceae,5,6,Y,Y,높이가 1-2m정도로 자란다.
106,쇠비름,Portulaca oleracea L.,쇠비름과,Portulacaceae,6,9,N,N,높이 약 30cm.
107,갯별꽃,Honckenya peploides var. major Hook. ex Ohwi,석죽과,Caryophyllaceae,6,8,N,N,높이가 30-40cm 가량 된다.
108,대나물,Gypsophila oldhamiana Miq.,석죽과,Caryophyllaceae,6,7,N,N,높이가 50-100cm정도로 자란다.
109,가는대나물,Gypsophila pacifica Kom.,석죽과,Caryophyllaceae,6,7,Y,N,높이 50-100cm정도에 이른다.
110,장백패랭이꽃,Dianthus repens Willd.,석죽과,Caryophyllaceae,7,8,N,N,높이 20~25cm이다.
111,패랭이꽃,Dianthus chinensis L.,석죽과,Caryophyllaceae,6,8,N,N,높이가 30cm정도에 이른다.
112,술패랭이꽃,Dianthus longicalyx Miq.,석죽과,Caryophyllaceae,7,8,N,N,높이가 30-100cm로 자란다.
113,수염패랭이꽃,Dianthus barbatus L.,석죽과,Caryophyllaceae,6,8,N,N,높이가 30-50cm로 자란다.
114,갯패랭이꽃,Dianthus japonicus Thunb.,석죽과,Caryophyllaceae,7,8,N,N,높이가 20-50cm정도로 자란다.
115,구름패랭이꽃,Dianthus superbus var. alpestris Kablik. ex Celak.,석죽과,Caryophyllaceae,7,8,N,N,높이 10-30㎝
116,흰패랭이꽃,Dianthus chinensis f. albiflora T.B.Lee,석죽과,Caryophyllaceae,6,8,N,N,높이 30㎝내외
117,섬패랭이꽃,Dianthus littorosus Makino ex Nakai,석죽과,Caryophyllaceae,10,10,N,N,높이 30㎝가량
118,흰술패랭이꽃,Dianthus superbus var. longicalycinus f. albiflorus Y.N.Lee,석죽과,Caryophyllaceae,7,8,N,N,높이 1m 내외
119,덩굴별꽃,Cucubalus baccifer var. japonicus Miq.,석죽과,Caryophyllaceae,7,8,N,N,덩굴의 길이가 1.7m에 이른다.
120,자주덩굴별꽃,Cucubalus baccifer f. atropurpureus Nakai,석죽과,Caryophyllaceae,7,8,N,N,덩굴의 길이가 1.7m에 이른다.
121,각시통점나도나물,Cerastium pauciflorum var. amurense (Regel) Mizush.,석죽과,Caryophyllaceae,5,6,N,N,높이 30~50cm이다.
122,점나도나물,Cerastium holosteoides var. hallaisanense (Nakai) Mizush.,석죽과,Caryophyllaceae,5,7,N,N,높이가 15-25cm로 자란다.
123,북선점나도나물,Cerastium rubescens var. koreanum (Nakai) Miki,석죽과,Caryophyllaceae,7,8,N,N,높이가 30-50cm정도에 이른다.
124,털점나도나물,Cerastium pauciflorum Stev. ex Ser.,석죽과,Caryophyllaceae,5,6,N,N,높이 30-50cm
125,북점나도나물,Cerastium holosteoides Fries,석죽과,Caryophyllaceae,5,7,N,N,높이 15-25cm
126,큰점나도나물,Cerastium fischerianum Ser.,석죽과,Caryophyllaceae,5,6,N,N,높이는 30cm정도이다.
127,벼룩이자리,Arenaria serpyllifolia L.,석죽과,Caryophyllaceae,4,5,N,N,높이가 10~25cm가량 된다.
128,관모개미자리,Arenaria capillaris Poir.,석죽과,Caryophyllaceae,8,8,N,N,높이가 9cm가량 된다.
129,벼룩이울타리,Arenaria juncea M.Bieb.,석죽과,Caryophyllaceae,7,8,N,N,높이가 50cm정도로 자란다.
130,실별꽃,Stellaria filicaulis Makino,석죽과,Caryophyllaceae,6,7,N,N,높이 30cm.
131,큰별꽃,Stellaria bungeana Fenzl,석죽과,Caryophyllaceae,6,7,N,N,높이 30~60cm이다.
132,왕별꽃,Stellaria radians L.,석죽과,Caryophyllaceae,7,7,N,N,높이 50-80cm로 자란다.
133,애기가지별꽃,Stellaria diffusa Willd. ex Schltdl.,석죽과,Caryophyllaceae,6,7,N,N,높이 30cm 이상에 달한다.
134,벼룩나물,Stellaria alsine var. undulata (Thunb.) Ohwi,석죽과,Caryophyllaceae,4,5,N,N,높이가 15-25cm에 달한다.
135,긴잎별꽃,Stellaria longifolia Muhl. ex Willd.,석죽과,Caryophyllaceae,7,8,Y,N,높이 20-40cm
136,별꽃,Stellaria media (L.) Vill.,석죽과,Caryophyllaceae,5,6,N,N,길이 10~20cm.
137,쇠별꽃,Stellaria aquatica (L.) Scop.,석죽과,Caryophyllaceae,7,8,N,N,높이 20~50cm 내외이다.
138,갯개미자리,Spergularia marina (L.) Besser,석죽과,Caryophyllaceae,5,8,N,N,높이가 10-20cm정도이다.
139,분홍장구채,Silene capitata Kom.,석죽과,Caryophyllaceae,10,11,Y,N,높이가 30cm정도로 자란다.
140,끈끈이장구채,Silene koreana Kom.,석죽과,Caryophyllaceae,7,8,Y,N,높이 90cm
141,호산장구채,Silene foliosa Maxim.,석죽과,Caryophyllaceae,7,8,N,N,높이 20-30㎝
142,흰장구채,Silene oliganthella Nakai,석죽과,Caryophyllaceae,7,8,N,N,높이 12-25cm
143,가는다리장구채,Silene jenisseensis Willd.,석죽과,Caryophyllaceae,7,8,Y,N,높이가 25cm에 달한다.
144,장구채,Silene firma Siebold & Zucc.,석죽과,Caryophyllaceae,7,7,N,N,높이가 30-80cm정도로 자란다.
145,말냉이장구채,Silene noctiflora L.,석죽과,Caryophyllaceae,7,8,N,N,높이가 50cm정도로 자란다.
146,오랑캐장구채,Silene repens Patrin,석죽과,Caryophyllaceae,6,7,N,N,높이가 10-60cm정도에 이른다.
147,층층장구채,Silene macrostyla Maxim.,석죽과,Caryophyllaceae,7,8,N,N,높이가 1m
148,가는장구채,Silene seoulensis Nakai,석죽과,Caryophyllaceae,7,8,N,N,높이가 50cm정도에 이른다.
149,갯장구채,Silene aprica var. oldhamiana (Miq.) C.Y.Wu,석죽과,Caryophyllaceae,5,6,N,N,높이가 50cm정도로 자란다.
150,한라장구채,Silene fasciculata Nakai,석죽과,Caryophyllaceae,6,8,Y,Y,높이 20cm
151,애기장구채,Silene aprica Turcz. ex Fisch. & C.A.Mey.,석죽과,Caryophyllaceae,5,6,N,N,높이 25-50cm정도로 자란다.
152,울릉장구채,Silene takeshimensis Uyeki & Sakata,석죽과,Caryophyllaceae,6,8,N,Y,높이 20-50cm
153,개미자리,Sagina japonica (Sw.) Ohwi,석죽과,Caryophyllaceae,6,8,N,N,높이 2-20cm에 달한다.
154,수개미자리,Sagina maxima f. crassicaulis (S.Watson) Mizush.,석죽과,Caryophyllaceae,5,8,N,N,높이 5~25cm이다. 
155,큰개미자리,Sagina maxima A. Gray,석죽과,Caryophyllaceae,5,8,N,N,높이가 5-25cm정도 된다.
156,덩굴개별꽃,Pseudostellaria davidii (Franch.) Pax,석죽과,Caryophyllaceae,5,6,N,N,높이가 15cm정도에 이른다.
157,긴개별꽃,Pseudostellaria japonica (Korsh.) Pax,석죽과,Caryophyllaceae,5,5,Y,N,높이가 15-30cm가량 된다.
158,참개별꽃,Pseudostellaria coreana (Nakai) Ohwi,석죽과,Caryophyllaceae,5,5,N,Y,높이가 25cm정도로 자란다.
159,개별꽃,Pseudostellaria heterophylla (Miq.) Pax,석죽과,Caryophyllaceae,5,5,N,N,높이 8~12cm
160,큰개별꽃,Pseudostellaria palibiniana (Takeda) Ohwi,석죽과,Caryophyllaceae,4,6,N,N,높이 10~20cm정도로 자란다.
161,덩이뿌리개별꽃,Pseudostellaria bulbosa (Nakai) Nakai,석죽과,Caryophyllaceae,5,5,N,Y,높이 20cm에 달한다.
162,숲개별꽃,Pseudostellaria setulosa Ohwi,석죽과,Caryophyllaceae,5,7,N,N,높이가 15-30cm정도이다.
163,가는잎개별꽃,Pseudostellaria sylvatica (Maxim.) Pax,석죽과,Caryophyllaceae,5,7,Y,N,높이 15~30cm이다.
164,개벼룩,Moehringia lateriflora (L.) Fenzl,석죽과,Caryophyllaceae,6,7,Y,N,높이가 10~20cm 정도로 자란다.
165,나도개미자리,Minuartia arctica (Steven ex Seringe) Graebn.,석죽과,Caryophyllaceae,7,8,N,N,높이가 5cm가량 된다.
166,삼수개미자리,Minuartia verna var. coreana (Nakai) H. Hara,석죽과,Caryophyllaceae,7,8,N,N,높이가 10-20cm가량 된다.
167,너도개미자리,Minuartia laricina (L.) Mattf.,석죽과,Caryophyllaceae,7,10,N,N,높이가 10cm에 이른다.
168,차일봉개미자리,Minuartia macrocarpa var. koreana (Nakai) H. Hara,석죽과,Caryophyllaceae,7,8,N,N,높이가 3-5cm정도이다.
169,,Minuartia verna var. leptophylla Nakai,석죽과,Caryophyllaceae,7,8,N,N,높이가 10-20cm가량 된다.
170,제비동자꽃,Lychnis wilfordii (Regel) Maxim.,석죽과,Caryophyllaceae,7,8,Y,N,높이가 약 50-80cm가량 자란다.
171,동자꽃,Lychnis cognata Maxim.,석죽과,Caryophyllaceae,7,8,N,N,높이 40~100cm정도에 이른다.
172,흰동자꽃,Lychnis cognata f. albiflora W.T.Lee,석죽과,Caryophyllaceae,7,8,N,N,높이 약 1m
173,털동자꽃,Lychnis fulgens Fisch. ex Spreng.,석죽과,Caryophyllaceae,7,8,N,N,높이가 50-70cm에 이른다.
174,가는동자꽃,Lychnis kiusiana Makino,석죽과,Caryophyllaceae,7,8,Y,N,높이가 60-100cm정도에 이른다.
175,암매,Diapensia lapponica L. var. obovata F.Schmidt,암매과,Diapensiaceae,6,7,Y,N,3~5cm
176,구름체꽃,Scabiosa tschiliensis f. alpina (Nakai) W.T.Lee,산토끼꽃과,Dipsacaceae,8,8,Y,N,높이 50-90cm
177,솔체꽃,Scabiosa tschiliensis Gruning,산토끼꽃과,Dipsacaceae,7,9,N,N,높이 50~90cm이며
178,체꽃,Scabiosa tschiliensis f. pinnata (Nakai) W.T.Lee,산토끼꽃과,Dipsacaceae,8,8,N,N,높이 50-90cm로 자란다.
179,민둥체꽃,Scabiosa tschiliensis f. zuikoensis (Nakai) W.T.Lee,산토끼꽃과,Dipsacaceae,8,8,N,N,높이 50-90cm
180,산토끼꽃,Dipsacus japonicus Miq.,산토끼꽃과,Dipsacaceae,8,8,Y,N,높이 1m이상이다.
181,긴잎쥐오줌풀,Valeriana dageletiana var. integra (Nakai) Nakai ex F.Maek.,마타리과,Valerianaceae,5,8,N,N,높이 40-80cm이다.
182,넓은잎쥐오줌풀,Valeriana dageletiana Nakai ex F.Maek.,마타리과,Valerianaceae,6,7,N,Y,높이 35~100cm이다.
183,광릉쥐오줌풀,Valeriana fauriei var. dasycarpa Hara,마타리과,Valerianaceae,5,8,N,N,높이 40-80cm.
184,쥐오줌풀,Valeriana fauriei Briq.,마타리과,Valerianaceae,5,8,N,N,높이 40~80cm
185,설령쥐오줌풀,Valeriana amurensis P.A.Smirn. ex Kom.,마타리과,Valerianaceae,6,7,N,N,높이가 70-90(140)cm정도이다.
186,좀쥐오줌,Valeriana fauriei f. coreana (Briq.) Hara,마타리과,Valerianaceae,5,8,N,N,높이 30-60cm 정도.
187,돌마타리,Patrinia rupestris (Pall.) Juss.,마타리과,Valerianaceae,7,9,N,N,높이가 20-60cm이다.
188,금마타리,Patrinia saniculaefolia Hemsl.,마타리과,Valerianaceae,5,6,Y,Y,높이 30cm이다.
189,마타리,Patrinia scabiosifolia Fisch. ex Trevir.,마타리과,Valerianaceae,7,8,N,N,높이 60-150cm.
190,뚝갈,Patrinia villosa (Thunb.) Juss.,마타리과,Valerianaceae,7,8,N,N,높이 1m.
191,연복초,Adoxa moschatellina L.,연복초과,Adoxaceae,4,5,N,N,높이가 8-17cm정도로 자란다.
192,흰병꽃나무,Weigela florida f. candida (Voss) Rehder,인동과,Caprifoliaceae,5,5,N,N,높이 2-3m 정도
193,통영병꽃나무,Weigela toensis Nakai,인동과,Caprifoliaceae,6,6,N,N,높이 1~3m이다.
194,흰골병꽃나무,Weigela hortensis f. nivea Bonard,인동과,Caprifoliaceae,6,6,N,N,높이 2-3m
195,소영도리나무,Weigela praecox (Lemoine) L.H.Bailey,인동과,Caprifoliaceae,5,5,N,N,높이 2m.
196,붉은병꽃나무,Weigela florida (Bunge) A.DC.,인동과,Caprifoliaceae,5,5,N,N,높이 2 ~ 3m.
197,산소영도리나무,Weigela praecox var. pilosa (Nakai) Nakai,인동과,Caprifoliaceae,5,5,N,N,높이가 2-3m에 이른다.
198,삼색병꽃나무,Weigela florida f. subtricolor Nakai,인동과,Caprifoliaceae,5,5,N,N,높이 2-3m 정도
199,병꽃나무,Weigela subsessilis (Nakai) L.H.Bailey,인동과,Caprifoliaceae,5,5,N,Y,높이 2 ~ 3m.
200,골병꽃나무,Weigela hortensis (Siebold & Zucc.) K.Koch,인동과,Caprifoliaceae,6,6,N,N,높이 2~3m이다.
201,흰털병꽃나무,Weigela subsessilis var. mollis Uyeki,인동과,Caprifoliaceae,5,5,N,N,높이 2-3m 정도
202,색병꽃나무,Weigela florida f. alba (Carri?re) Rehder,인동과,Caprifoliaceae,5,5,N,N,높이 2-3m 정도
203,덧잎가막살나무,Viburnum wrightii Miq. var. stipellatum Nakai,인동과,Caprifoliaceae,5,6,N,N,높이 3m 정도
204,분꽃나무,Viburnum carlesii Hemsl.,인동과,Caprifoliaceae,4,5,N,N,높이 2m.
205,산분꽃나무,Viburnum burejaeticum Regel & Herder,인동과,Caprifoliaceae,5,5,Y,N,높이 5m정도로 자란다.
206,분단나무,Viburnum furcatum Blume ex Maxim.,인동과,Caprifoliaceae,5,5,N,N,높이 5m.
207,산가막살나무,Viburnum wrightii Miq.,인동과,Caprifoliaceae,5,6,N,N,높이 3m.
208,가막살나무,Viburnum dilatatum Thunb.,인동과,Caprifoliaceae,5,5,N,N,높이 3m.
209,덜꿩나무,Viburnum erosum Thunb.,인동과,Caprifoliaceae,5,5,N,N,높이 2m
210,백당나무,Viburnum opulus L. var. calvescens (Rehder) H. Hara,인동과,Caprifoliaceae,5,6,N,N,높이 3m 정도
211,배암나무,Viburnum koreanum Nakai,인동과,Caprifoliaceae,6,6,N,N,높이가 2m정도로 자란다.
212,아왜나무,Viburnum odoratissimum Ker Gawl. ex R?mpler var. awabuki (K.Koch) Zabel,인동과,Caprifoliaceae,6,6,N,N,높이 10m 정도
213,가새덜꿩나무,Viburnum erosum var. taquetii (H.L?v.) Rehder,인동과,Caprifoliaceae,5,5,N,N,높이 2m 정도
214,푸른가막살,Viburnum japonicum (Thunb.) Spreng.,인동과,Caprifoliaceae,4,5,N,N,높이 6m 정도까지 자란다.
